bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
1-00137-0035,2011,TRIBECA,D4-ELEVATOR,21,1920,48079,1615454,33.6,NA,NA,NA,7520000,156,1-00071-0001,FINANCIAL,D2-ELEVATOR,66,1930,50955,1780000,34.9,NA,NA,NA,8290000,163,0.7,1-00882-0028,GRAMERCY,D1-ELEVATOR,77,1939,52092,1687000,32.4,NA,NA,NA,7860000,151,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,35,1,10007,16,3700,14,2,1748,22,4,16
1-00137-0035,2012,TRIBECA,D4-ELEVATOR,21,1920,48079,1529393,31.81,447615,9.31,1081780,8068000,167.81,1-00065-0010,FINANCIAL,D5-ELEVATOR,68,1900,58354,2099485,35.98,645225,11.06,1454260,10730000,183.88,0.41,1-00077-0024,FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.5,1-00477-0001,80 VARICK STREET,SOHO,D5-ELEVATOR,64,1920,125,2,19.25,1,9.13,1,9,72.56,0.59,137,35,1,10007,16,3700,14,2,1748,22,4,16
1-00315-0001,2009,LOWER EAST SIDE,D4-ELEVATOR,880,1960,1034940,13081642,12.64,NA,NA,NA,49200000,47.5,1-00816-0007,FLATIRON,D6-ELEVATOR,245,1965,310000,5305000,17.11,NA,NA,NA,21600000,70,1.6,1-00900-0027,GRAMERCY,D6-ELEVATOR,302,1963,291894,5003940,17.14,NA,NA,NA,20400000,70,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,1,1,10002,880,0,20,1,18940,43,10,37
1-00315-0001,2011,LOWER EAST SIDE,D4-ELEVATOR,880,1960,1034940,21630246,20.9,NA,NA,NA,80900000,78,1-00247-0001,LOWER EAST SIDE,D6-ELEVATOR,491,1979,627895,14108000,22.47,NA,NA,NA,29900000,47.6,0.35,1-00991-0060,KIPS BAY,D6-ELEVATOR,1112,1973,1588533,36543335,23,NA,NA,NA,151000000,95,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,1,1,10002,880,0,20,1,18940,43,10,37
1-00315-0001,2012,LOWER EAST SIDE,D4-ELEVATOR,880,1960,1034940,19839800,19.17,7782750,7.52,12057100,86492000,83.57,1-00246-0001,LOWER EAST SIDE,D6-ELEVATOR,254,1978,262875,6647247,25.29,2112000,8.03,4535250,31565900,120.08,0.3,1-00354-0022,LOWER EAST SIDE,D1-ELEVATOR,35,1912,22404,328004,14.64,108280,4.83,219724,1517000,67.71,0.36,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,315,1,1,10002,880,0,20,1,18940,43,10,37
1-00387-0141,2009,ALPHABET CITY,C6-WALK-UP,18,1920,16747,368434,22,NA,NA,NA,1040000,62,1-00393-0014,ALPHABET CITY,C4-WALK-UP,61,1900,81576,1868542,22.91,NA,NA,NA,5280000,65,0.3,1-00385-0050,ALPHABET CITY,C4-WALK-UP,24,1910,11322,243094,21.47,NA,NA,NA,1090000,96,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,141,1,10009,16,1000,6,1,14650,4,16,3
1-00387-0141,2011,ALPHABET CITY,C6-WALK-UP,18,1920,16747,478964,28.6,NA,NA,NA,1020000,61,1-00404-0004,ALPHABET CITY,C7-WALK-UP,27,1920,15162,438000,28.9,NA,NA,NA,1810000,119,0.3,1-00406-0009,ALPHABET CITY,C7-WALK-UP,29,1900,16002,453000,28.3,NA,NA,NA,1880000,117,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,141,1,10009,16,1000,6,1,14650,4,16,3
1-00387-0141,2012,ALPHABET CITY,C6-WALK-UP,18,1920,16747,289053,17.26,147876,8.83,141177,1019000,60.85,1-00415-0012,LOWER EAST SIDE,C7-WALK-UP,60,1920,32786,623024,19,304535,9.29,318489,1065000,32.48,0.51,1-00733-0001,JAVITS CENTER,C7-WALK-UP,15,1930,13220,210019,15.89,104209,7.88,105810,560000,42.36,2.29,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,387,141,1,10009,16,1000,6,1,14650,4,16,3
1-00390-0037,2009,ALPHABET CITY,C6-WALK-UP,12,1900,13553,298166,22,NA,NA,NA,842000,62,1-00400-0001,ALPHABET CITY,D6-ELEVATOR,84,1940,79956,1926119,24.09,NA,NA,NA,8610000,108,0.2,1-00385-0050,ALPHABET CITY,C4-WALK-UP,24,1910,11322,243094,21.47,NA,NA,NA,1090000,96,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,37,1,10009,10,2000,6,1,233,2,9,9
1-00390-0037,2011,ALPHABET CITY,C6-WALK-UP,12,1900,13553,311719,23,NA,NA,NA,661000,48.8,1-00406-0008,ALPHABET CITY,C7-WALK-UP,19,1900,11643,333000,28.6,NA,NA,NA,1380000,119,0.25,1-00396-0027,ALPHABET CITY,C4-WALK-UP,20,1920,10900,267000,24.5,NA,NA,NA,1110000,102,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,37,1,10009,10,2000,6,1,233,2,9,9
