bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
2-03299-0014,2011,BEDFORD PARK/NORWOOD,D4-ELEVATOR,60,1939,65070,744400,11.44,NA,NA,NA,2090000,32.1,2-03320-0044,BEDFORD PARK/NORWOOD,D1-ELEVATOR,63,1939,71250,732435,10.28,NA,NA,NA,1740000,24.42,0.25,2-03297-0001,BEDFORD PARK/NORWOOD,D1-ELEVATOR,55,1955,59085,743992,12.59,NA,NA,NA,2090000,35.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299,14,2,10458,60,0,6,10,900,2,6,6
2-03299-0014,2012,BEDFORD PARK/NORWOOD,D4-ELEVATOR,60,1939,65070,676728,10.4,336412,5.17,340316,2117000,32.53,2-03299-0041,BEDFORD PARK/NORWOOD,D1-ELEVATOR,62,1940,68040,712495,10.47,314913,4.63,397582,1804000,26.51,0.06,2-03298-0016,BEDFORD PARK/NORWOOD,D1-ELEVATOR,42,1932,47145,475579,10.09,230421,4.89,245158,1155000,24.5,0.11,2-03298-0038,2977 BAINBRIDGE AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,37,1938,38,401,10.4,199,5.17,201,992,25.69,0.11,3299,14,2,10458,60,0,6,10,900,2,6,6
2-03379-0001,2009,WOODLAWN,D4-ELEVATOR,49,1954,47679,483465,10.14,NA,NA,NA,1630000,34.2,2-03168-0052,FORDHAM,D1-ELEVATOR,49,1938,47776,481312,10.07,NA,NA,NA,1630000,34.1,2.75,2-04426-0005,BRONXDALE,D1-ELEVATOR,49,1931,47886,469296,9.8,NA,NA,NA,1590000,33.2,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3379,1,2,10470,49,0,6,11,52950,19,1,9
2-03379-0001,2011,WOODLAWN,D4-ELEVATOR,49,1954,47679,523038,10.97,NA,NA,NA,1360000,28.5,2-03168-0052,FORDHAM,D1-ELEVATOR,49,1938,47776,571127,11.95,NA,NA,NA,1600000,33.5,2.75,2-04426-0005,BRONXDALE,D1-ELEVATOR,49,1931,47886,609239,12.72,NA,NA,NA,1900000,39.7,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3379,1,2,10470,49,0,6,11,52950,19,1,9
2-03379-0001,2012,WOODLAWN,D4-ELEVATOR,49,1954,47679,542110,11.37,298947,6.27,243163,1496000,31.38,2-04994-0017,WAKEFIELD,D1-ELEVATOR,51,1963,48041,578084,12.03,338496,7.05,239588,1525000,31.74,0.67,2-04831-0048,WILLIAMSBRIDGE,D1-ELEVATOR,49,1939,47412,570272,12.03,331261,6.99,239011,1522000,32.1,0.74,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,3379,1,2,10470,49,0,6,11,52950,19,1,9
2-03398-0044,2009,WOODLAWN,D4-ELEVATOR,127,1958,109206,1168504,10.7,NA,NA,NA,3950000,36.2,2-04087-0033,MORRIS PARK/VAN NEST,D3-ELEVATOR,125,1928,107340,1153680,10.75,NA,NA,NA,3900000,36.3,3.75,2-05780-0940,RIVERDALE,D1-ELEVATOR,127,1928,134703,1397249,10.37,NA,NA,NA,4720000,35,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3398,44,2,10470,127,0,6,11,-2180,9,2,11
2-03398-0044,2011,WOODLAWN,D4-ELEVATOR,127,1958,109206,1461293,13.38,NA,NA,NA,4550000,41.7,2-04087-0033,MORRIS PARK/VAN NEST,D3-ELEVATOR,125,1928,107340,1362115,12.69,NA,NA,NA,4240000,39.5,3.75,2-05780-0940,RIVERDALE,D1-ELEVATOR,127,1928,134703,1542298,11.45,NA,NA,NA,4330000,32.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3398,44,2,10470,127,0,6,11,-2180,9,2,11
2-03398-0044,2012,WOODLAWN,D4-ELEVATOR,127,1958,109206,1461176,13.38,774271,7.09,686905,4556000,41.72,2-04087-0033,MORRIS PARK/VAN NEST,D3-ELEVATOR,125,1928,107340,1438693,13.4,726466,6.77,712227,4723000,44,3.76,2-05780-0940,RIVERDALE,D1-ELEVATOR,127,1928,134703,1515163,11.25,801013,5.95,714150,4599000,34.14,2.28,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,3398,44,2,10470,127,0,6,11,-2180,9,2,11
2-03627-0050,2011,SOUNDVIEW,D4-ELEVATOR,225,1962,256750,2631687,10.25,NA,NA,NA,5580000,21.73,2-03600-0004,SOUNDVIEW,D7-ELEVATOR,955,1977,1021752,10917966,10.69,NA,NA,NA,23100000,22.61,0.75,2-03623-0001,SOUNDVIEW,D3-ELEVATOR,968,1969,1069698,10959184,10.25,NA,NA,NA,26100000,24.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3627,50,2,10473,225,0,19,8,1200,0,1,8
2-03627-0050,2012,SOUNDVIEW,D4-ELEVATOR,225,1962,256750,2762630,10.76,1763870,6.87,998757,6188000,24.1,2-02712-0040,MORRISANIA/LONGWOOD,D1-ELEVATOR,25,1913,32994,371265,11.25,232028,7.03,139237,897000,27.19,1.03,2-02713-0002,MORRISANIA/LONGWOOD,D7-ELEVATOR,104,1982,148828,1602028,10.76,1022330,6.87,579702,3592000,24.14,1.08,2-02712-0028,931 FOX STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,43,1929,47,490,10.25,299,6.25,191,1,24.9,1.03,3627,50,2,10473,225,0,19,8,1200,0,1,8
2-03663-0002,2009,SOUNDVIEW,D4-ELEVATOR,408,1958,361452,3180777,8.8,NA,NA,NA,8980000,24.84,2-03642-0001,SOUNDVIEW,D3-ELEVATOR,317,1968,352866,3282980,9.3,NA,NA,NA,9270000,26.3,0.2,2-03649-0001,SOUNDVIEW,D3-ELEVATOR,144,1964,153400,1349530,8.8,NA,NA,NA,3810000,24.84,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3663,2,2,10473,408,0,15,8,-1500,18,2,21
2-03663-0002,2011,SOUNDVIEW,D4-ELEVATOR,408,1958,361452,3451866,9.55,NA,NA,NA,8210000,22.71,2-03642-0001,SOUNDVIEW,D3-ELEVATOR,317,1968,352866,3372867,9.56,NA,NA,NA,7150000,20.26,0.2,2-03668-0001,SOUNDVIEW,D3-ELEVATOR,459,1965,490000,4789336,9.77,NA,NA,NA,11400000,23.27,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3663,2,2,10473,408,0,15,8,-1500,18,2,21
2-03663-0002,2012,SOUNDVIEW,D4-ELEVATOR,408,1958,361452,3889224,10.76,2483180,6.87,1406050,8712000,24.1,2-03867-0023,SOUNDVIEW,D1-ELEVATOR,129,1966,95370,1253162,13.14,664729,6.97,588433,3913000,41.03,0.8,2-02713-0002,MORRISANIA/LONGWOOD,D7-ELEVATOR,104,1982,148828,1602028,10.76,1022330,6.87,579702,3592000,24.14,1.55,2-02712-0028,931 FOX STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,43,1929,47,490,10.25,299,6.25,191,1,24.9,1.51,3663,2,2,10473,408,0,15,8,-1500,18,2,21
2-03717-0018,2009,SOUNDVIEW,C6-WALK-UP,44,1928,35700,332010,9.3,NA,NA,NA,938000,26.3,2-03152-0090,FORDHAM,C1-WALK-UP,51,1911,42075,423911,10.08,NA,NA,NA,1430000,34,2.7,2-03208-0028,KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,21,1928,23400,165600,7.08,NA,NA,NA,508000,21.71,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3717,18,2,10472,44,0,5,8,-25,1,16,0
2-03717-0018,2011,SOUNDVIEW,C6-WALK-UP,44,1928,35700,339150,9.5,NA,NA,NA,807000,22.61,2-03164-0037,FORDHAM,C1-WALK-UP,44,1920,32405,450118,13.89,NA,NA,NA,1400000,43.2,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3717,18,2,10472,44,0,5,8,-25,1,16,0
2-03717-0018,2012,SOUNDVIEW,C6-WALK-UP,44,1928,35700,378063,10.59,227052,6.36,151011,937000,26.25,2-03739-0051,SOUNDVIEW,C1-WALK-UP,48,1928,36500,426685,11.69,234695,6.43,191990,1155000,31.64,0.25,2-03776-0062,SOUNDVIEW,C1-WALK-UP,38,1928,31400,387780,12.35,203252,6.47,184528,1169000,37.23,0.35,2-03866-0005,1585 EAST 172 STREET,SOUNDVIEW,C1-WALK-UP,49,1928,37,446,11.95,289,7.76,156,1,44.42,0.52,3717,18,2,10472,44,0,5,8,-25,1,16,0
2-03788-0021,2009,CASTLE HILL/UNIONPORT,D4-ELEVATOR,133,1963,151155,1587127,10.5,NA,NA,NA,4480000,29.6,2-03143-0036,FORDHAM,D1-ELEVATOR,120,1972,125685,1621667,12.9,NA,NA,NA,4580000,36.4,2.7,2-03650-0001,SOUNDVIEW,D3-ELEVATOR,213,1964,174671,1650531,9.45,NA,NA,NA,4660000,26.7,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3788,21,2,10472,133,0,15,8,4240,11,3,16
2-03788-0021,2011,CASTLE HILL/UNIONPORT,D4-ELEVATOR,133,1963,151155,1624916,10.75,NA,NA,NA,4210000,27.9,2-03682-0001,CASTLE HILL/UNIONPORT,D3-ELEVATOR,330,1966,359556,2995688,8.33,NA,NA,NA,6350000,17.66,0.2,2-03778-0010,SOUNDVIEW,D3-ELEVATOR,154,1968,147727,1664181,11.27,NA,NA,NA,3960000,26.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3788,21,2,10472,133,0,15,8,4240,11,3,16
2-03788-0021,2012,CASTLE HILL/UNIONPORT,D4-ELEVATOR,133,1963,151155,1845603,12.21,1179010,7.8,666594,4232000,28,2-03138-0001,EAST TREMONT,D1-ELEVATOR,237,1974,276135,3521878,12.75,2141680,7.76,1380200,9228000,33.42,1.52,2-03129-0029,EAST TREMONT,D1-ELEVATOR,20,1931,26700,302025,11.31,173297,6.49,128728,828000,31.01,1.67,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,3788,21,2,10472,133,0,15,8,4240,11,3,16
2-04162-0002,2009,SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,120,1966,127000,1315720,10.36,NA,NA,NA,3720000,29.3,2-04178-0010,SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1216063,10.86,NA,NA,NA,4290000,38.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4162,2,2,10461,120,0,12,8,-80,15,8,4
2-04162-0002,2011,SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,120,1966,127000,1490980,11.74,NA,NA,NA,3160000,24.88,2-04178-0010,SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1426482,12.74,NA,NA,NA,4010000,35.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4162,2,2,10461,120,0,12,8,-80,15,8,4
2-04174-0024,2009,SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,157,1963,135250,1474225,10.9,NA,NA,NA,5200000,38.4,2-04178-0010,SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1216063,10.86,NA,NA,NA,4290000,38.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4174,24,2,10461,157,0,12,8,13770,21,4,18
2-04174-0024,2011,SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,157,1963,135250,1593245,11.78,NA,NA,NA,4480000,33.1,2-04178-0010,SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1426482,12.74,NA,NA,NA,4010000,35.8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4174,24,2,10461,157,0,12,8,13770,21,4,18
2-04174-0024,2012,SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,157,1963,135250,1503980,11.12,743875,5.5,760105,4691000,34.68,2-04178-0010,SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1480347,13.22,642987,5.74,837360,4411000,39.38,0.12,2-04177-0007,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,80,1929,75600,840441,11.12,415858,5.5,424583,2376000,31.43,0.12,2-04172-0007,3070 ROBERTS AVENUE,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,43,1929,46,453,9.76,235,5.07,218,1,26.26,0.09,4174,24,2,10461,157,0,12,8,13770,21,4,18
2-04289-0015,2009,MORRIS PARK/VAN NEST,D4-ELEVATOR,55,1932,54184,590605,10.9,NA,NA,NA,2080000,38.4,2-04287-0050,PELHAM PARKWAY SOUTH,D1-ELEVATOR,49,1939,46212,538104,11.64,NA,NA,NA,1900000,41.1,0.15,2-04287-0055,PELHAM PARKWAY SOUTH,D1-ELEVATOR,42,1939,53400,499570,9.36,NA,NA,NA,1650000,30.9,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4289,15,2,10462,55,0,6,11,5560,1,3,1
2-04289-0015,2011,MORRIS PARK/VAN NEST,D4-ELEVATOR,55,1932,54184,642080,11.85,NA,NA,NA,1800000,33.2,2-04287-0050,PELHAM PARKWAY SOUTH,D1-ELEVATOR,49,1939,46212,547835,11.85,NA,NA,NA,1540000,33.3,0.15,2-04287-0055,PELHAM PARKWAY SOUTH,D1-ELEVATOR,42,1939,53400,506917,9.49,NA,NA,NA,1210000,22.66,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4289,15,2,10462,55,0,6,11,5560,1,3,1
2-04289-0015,2012,MORRIS PARK/VAN NEST,D4-ELEVATOR,55,1932,54184,623116,11.5,297470,5.49,325646,2089000,38.55,2-04285-0010,MORRIS PARK/VAN NEST,D1-ELEVATOR,43,1937,43854,453012,10.33,271895,6.2,181117,1127000,25.7,0.05,2-04287-0055,PELHAM PARKWAY SOUTH,D1-ELEVATOR,42,1939,53400,536590,10.05,276307,5.17,260283,1331000,24.93,0.14,2-04322-0025,2182 BARNES AVENUE,PELHAM PARKWAY SOUTH,D1-ELEVATOR,71,1930,65,814,12.36,436,6.63,377,2,36.3,0.3,4289,15,2,10462,55,0,6,11,5560,1,3,1
2-04289-0020,2009,MORRIS PARK/VAN NEST,D4-ELEVATOR,105,1933,94000,815920,8.68,NA,NA,NA,2690000,28.6,2-04284-0001,MORRIS PARK/VAN NEST,D1-ELEVATOR,73,1935,81456,706898,8.68,NA,NA,NA,2330000,28.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4289,20,2,10462,202,4000,6,11,4791,0,5,3
2-04289-0020,2011,MORRIS PARK/VAN NEST,D4-ELEVATOR,105,1933,94000,897700,9.55,NA,NA,NA,2130000,22.66,2-04284-0001,MORRIS PARK/VAN NEST,D1-ELEVATOR,73,1935,81456,777618,9.55,NA,NA,NA,1850000,22.71,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4289,20,2,10462,202,4000,6,11,4791,0,5,3
2-04289-0020,2012,MORRIS PARK/VAN NEST,D4-ELEVATOR,210,1933,94000,1041520,11.08,572460,6.09,469060,2896000,30.81,2-04257-0040,MORRIS PARK/VAN NEST,D7-ELEVATOR,45,1932,49260,485570,9.86,313442,6.36,172128,1019000,20.69,0.15,2-04274-0064,MORRIS PARK/VAN NEST,D7-ELEVATOR,62,1961,71500,879792,12.3,461008,6.45,418784,2655000,37.13,0.64,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,4289,20,2,10462,202,4000,6,11,4791,0,5,3
2-04425-0001,2009,BRONXDALE,D4-ELEVATOR,172,1963,183600,1918620,10.45,NA,NA,NA,5420000,29.5,2-04633-0001,BRONXDALE,D1-ELEVATOR,122,1973,127629,783691,6.14,NA,NA,NA,2410000,18.88,0.9,2-04338-0012,BRONXDALE,D1-ELEVATOR,108,1954,137350,904026,6.58,NA,NA,NA,2780000,20.24,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4425,1,2,10467,172,0,20,11,3195,14,2,8
2-04425-0001,2011,BRONXDALE,D4-ELEVATOR,172,1963,183600,2557548,13.93,NA,NA,NA,5420000,29.5,2-04633-0001,BRONXDALE,D1-ELEVATOR,122,1973,127629,1777643,13.93,NA,NA,NA,4610000,36.1,0.9,2-04338-0012,BRONXDALE,D1-ELEVATOR,108,1954,137350,1057852,7.7,NA,NA,NA,2240000,16.31,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4425,1,2,10467,172,0,20,11,3195,14,2,8
2-04425-0001,2012,BRONXDALE,D4-ELEVATOR,172,1963,183600,2550200,13.89,1276020,6.95,1274180,8130000,44.28,2-04633-0001,BRONXDALE,D1-ELEVATOR,122,1973,127629,1917422,15.02,1145340,8.97,772077,5313000,41.63,0.89,2-04342-0010,BRONXDALE,D1-ELEVATOR,512,1965,255000,3254182,12.76,1945100,7.63,1309080,8751000,34.32,0.17,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,4425,1,2,10467,172,0,20,11,3195,14,2,8
2-04671-0051,2009,WILLIAMSBRIDGE,D4-ELEVATOR,266,1971,318060,3272837,10.29,NA,NA,NA,9240000,29.1,2-02420-9978,MELROSE/CONCOURSE,D3-ELEVATOR,300,1964,267525,3231702,12.08,NA,NA,NA,11400000,42.6,4.75,2-03115-9021,BELMONT,D3-ELEVATOR,311,1975,241800,2767880,11.45,NA,NA,NA,9760000,40.4,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4671,51,2,10467,266,26880,30,11,-950,15,6,10
2-04671-0051,2011,WILLIAMSBRIDGE,D4-ELEVATOR,266,1971,318060,3371436,10.6,NA,NA,NA,7150000,22.48,2-02420-9978,MELROSE/CONCOURSE,D3-ELEVATOR,300,1964,267525,3251500,12.15,NA,NA,NA,6890000,25.8,4.75,2-03115-9021,BELMONT,D3-ELEVATOR,311,1975,249600,3019551,12.1,NA,NA,NA,7180000,28.8,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4671,51,2,10467,266,26880,30,11,-950,15,6,10
2-04840-0023,2009,WILLIAMSBRIDGE,C6-WALK-UP,22,1963,16506,176614,10.7,NA,NA,NA,597000,36.2,2-02981-0046,CROTONA PARK,C1-WALK-UP,22,1925,14400,153799,10.68,NA,NA,NA,520000,36.1,4.15,2-05042-0025,WAKEFIELD,C1-WALK-UP,22,1924,17952,204395,11.39,NA,NA,NA,721000,40.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4840,23,2,10466,22,0,3,11,1575,3,8,0
2-04840-0023,2011,WILLIAMSBRIDGE,C6-WALK-UP,22,1963,16506,212571,12.88,NA,NA,NA,662000,40.1,2-02981-0046,CROTONA PARK,C1-WALK-UP,22,1925,14400,189870,13.19,NA,NA,NA,591000,41,4.15,2-05042-0025,WAKEFIELD,C1-WALK-UP,22,1924,17952,214346,11.94,NA,NA,NA,602000,33.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4840,23,2,10466,22,0,3,11,1575,3,8,0
2-05038-0010,2009,WAKEFIELD,C6-WALK-UP,21,1964,17013,175233,10.3,NA,NA,NA,592000,34.8,2-03355-0109,BEDFORD PARK/NORWOOD,C1-WALK-UP,21,1937,16450,152068,9.24,NA,NA,NA,501000,30.5,1.55,2-04826-0040,WILLIAMSBRIDGE,C1-WALK-UP,21,1928,15532,161002,10.37,NA,NA,NA,544000,35,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5038,10,2,10466,21,0,3,11,37580,6,19,8
2-05038-0010,2011,WAKEFIELD,C6-WALK-UP,21,1964,17013,187143,11,NA,NA,NA,485000,28.5,2-03355-0109,BEDFORD PARK/NORWOOD,C1-WALK-UP,21,1937,16450,165198,10.04,NA,NA,NA,393000,23.89,1.55,2-04826-0040,WILLIAMSBRIDGE,C1-WALK-UP,21,1928,15532,185599,11.95,NA,NA,NA,522000,33.6,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5038,10,2,10466,21,0,3,11,37580,6,19,8
2-05135-0051,2009,CO-OP CITY,D4-ELEVATOR,4470,1969,5541031,57515901,10.38,NA,NA,NA,162000000,29.2,2-02882-0229,HIGHBRIDGE/MORRIS HEIGHTS,D3-ELEVATOR,1654,1973,1597950,17497552,10.95,NA,NA,NA,49400000,30.9,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5135,51,2,10475,4458,11700,33,11,38945,75,5,186
2-05135-0051,2011,CO-OP CITY,D4-ELEVATOR,4470,1969,5541031,59344442,10.71,NA,NA,NA,126000000,22.74,2-02882-0229,HIGHBRIDGE/MORRIS HEIGHTS,D3-ELEVATOR,1654,1973,1597950,19139855,11.98,NA,NA,NA,40600000,25.4,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5135,51,2,10475,4458,11700,33,11,38945,75,5,186
2-05135-0051,2012,CO-OP CITY,D4-ELEVATOR,4470,1969,5541031,64165139,11.58,41578700,7.5,22586400,144775000,26.13,2-03138-0001,EAST TREMONT,D1-ELEVATOR,237,1974,276135,3521878,12.75,2141680,7.76,1380200,9228000,33.42,3.02,2-05640-0018,CITY ISLAND,D3-ELEVATOR,131,1981,97013,1566660,16.15,776661,8.01,789999,4860000,50.1,2.68,2-03094-0003,730 OAKLAND PLACE,EAST TREMONT,D1-ELEVATOR,152,1975,145,2,14.61,1,9.02,812,5,38.61,3.42,5135,51,2,10475,4458,11700,33,11,38945,75,5,186
2-05141-0120,2009,CO-OP CITY,D4-ELEVATOR,10948,1969,13540113,136348937,10.07,NA,NA,NA,385000000,28.4,2-02882-0229,HIGHBRIDGE/MORRIS HEIGHTS,D3-ELEVATOR,1654,1973,1597950,17497552,10.95,NA,NA,NA,49400000,30.9,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5141,120,2,10475,10914,328715,33,11,86564,162,15,668
2-05141-0120,2011,CO-OP CITY,D4-ELEVATOR,10948,1969,13540113,145014610,10.71,NA,NA,NA,307000000,22.67,2-02882-0229,HIGHBRIDGE/MORRIS HEIGHTS,D3-ELEVATOR,1654,1973,1597950,19139855,11.98,NA,NA,NA,40600000,25.4,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5141,120,2,10475,10914,328715,33,11,86564,162,15,668
2-05141-0120,2012,CO-OP CITY,D4-ELEVATOR,10948,1969,13540113,158825525,11.73,101915000,7.53,56910700,363902000,26.88,2-02882-0229,HIGHBRIDGE/MORRIS HEIGHTS,D6-ELEVATOR,8271,1973,1597950,20725412,12.97,11185600,7,9539760,60900000,38.11,5.1,3-04452-0020,SPRING CREEK,D3-ELEVATOR,1164,1972,1485000,20584288,13.86,12168400,8.19,8415850,55466000,37.35,16.09,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,5141,120,2,10475,10914,328715,33,11,86564,162,15,668
2-05409-0041,2009,COUNTRY CLUB,D4-ELEVATOR,130,1963,136913,1170606,8.55,NA,NA,NA,3860000,28.2,2-03211-0009,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,111,1959,130000,1124270,8.65,NA,NA,NA,3710000,28.5,5,2-03212-0005,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,110,1959,122883,1043164,8.49,NA,NA,NA,3440000,28,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5409,41,2,10465,130,21453,6,8,36275,28,19,11
2-05409-0041,2011,COUNTRY CLUB,D4-ELEVATOR,130,1963,136913,1506043,11,NA,NA,NA,3900000,28.5,2-05920-0670,RIVERDALE,D1-ELEVATOR,135,1960,152400,2071191,13.59,NA,NA,NA,6450000,42.3,6.3,2-03212-0005,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,110,1959,122883,1212521,9.87,NA,NA,NA,2880000,23.44,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5409,41,2,10465,130,21453,6,8,36275,28,19,11
